"estuary","slopes","ci.up","ci.low","pvals","s.pvals","STATE","DLAT","DLONG","CONDITION","CLASSIFICATION","SUBCLASS","BARRIER_BACKBARRIER","CENTRAL_BASIN","FLUVIAL_BAYHEAD_DELTA","FLOOD_EBB_DELTA","INTERTIDAL_FLATS","MANGROVE","SALTMARSH_SALTFLAT","TIDAL_SANDBANKS","ROCKY_REEF","CORAL","CHANNEL","BEDROCK","FLOODPLAIN","BEDROCK_PERIMETER","PERIMETER","CATCHMENTAREA","WATERAREA","MAXLENGTH","MAXWIDTH","ENTLENGTH","ENTRANCEWIDTH","MEANWAVEHEIGHT","MEANWAVEPERIOD","MAXWAVEHEIGHT","MAXWAVEPERIOD","TIDALRANGE","TIDALTYPE"
"Burdekin River",1.3992207825503e-05,2.008467238087e-05,7.89974327013606e-06,5.71209899617258e-06,2.21388460846645e-10,"QLD",-19.687,147.611,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,23.524,18.47282,46.04442,25.9366,2.34168,NA,NA,39.14407,NA,NA,20.12524,234.61,130475,32,69.36,2.52,NA,3.98,0.483,5.27,2.1,11.4,2.3,"Semi Diurnal"
"Burnett River",2.16526780213187e-05,2.93017500405652e-05,1.40036060020722e-05,3.25856243021878e-08,3.06106909805079e-07,"QLD",-24.755,152.405,"extensively modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,1.07261,8.67014,0.3241,3.27243,NA,NA,7.88696,NA,3.3705,NA,72.58,33323,9.87,24.51,NA,NA,0.62,0.816,5.637,2.5,9.1,2.3,"Semi Diurnal"
"Burpengary Creek",7.2707864589872e-06,1.56371586040349e-05,-1.09558568606051e-06,0.0830657167424418,8.99605130035555e-10,"QLD",-27.162,153.04,"modified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,1.26237,0.40318,1.95561,1.12272,0.1601,NA,NA,0.31936,NA,NA,NA,8.98,108,0.41,2.92,0.62,NA,0.62,0.092,5.508,0.5,10.1,1.6,"Semi Diurnal"
"Burrill Lake",1.13690331954041e-05,1.82365865357021e-05,4.50147985510616e-06,0.000975236954203766,0.0221635767861216,"NSW",-35.39,150.445,"largely unmodified","wave dominated","WAVE-DOMINATED ESTUARY",0.66203,3.39179,0.86128,0.20873,0.11232,NA,0.0596,0.20922,0.03994,NA,0.33052,NA,NA,NA,31.3,87,4.2,8.14,0.83,2.44,0.054,1.334,6.711,7.9,12.1,1.2,"Semi Diurnal"
"Burrum River",-1.15164403743243e-05,1.29339264401739e-06,-2.43262733926661e-05,0.0729375854286554,0.254438300882338,"QLD",-25.178,152.621,"largely unmodified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,36.59107,1.58645,6.68714,1.70989,5.7669,0.18698,NA,12.97699,NA,NA,NA,112.14,2368,12.51,21.61,2,NA,0.96,0.345,4.427,1,10.6,2.4,"Semi Diurnal"
"Buxton River",1.59641921793939e-05,3.75845995666482e-05,-5.65621520786033e-06,0.141013395449058,0.112557353710537,"TAS",-42.269,148.015,"modified","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,0.02083,0.02132,NA,0.00856,NA,NA,NA,0.16782,NA,NA,2.75537,2.39,NA,NA,0.99,NA,NA,0.074,NA,NA,NA,NA,NA,""
"Bynoe Harbour",-6.50271655671422e-06,4.0239782097806e-06,-1.7029411323209e-05,0.217454676154704,0.00135703612532954,"NT",-12.56,130.543,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.86,1014,206.42,40.64,5.75,NA,9.19,0.075,3.099,0.9,8.2,5.2,"Semi Diurnal"
"Caboolture River",1.084700583858e-05,1.93281631944683e-05,2.36584848269178e-06,0.0109179679623363,1.76316163668861e-14,"QLD",-27.153,153.044,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,3.30352,0.70685,2.39389,1.0859,0.54118,NA,NA,1.62305,NA,NA,2.65982,20,354,1.77,7.85,0.36,NA,0.37,0.092,5.508,0.5,10.1,1.6,"Semi Diurnal"
"Calliope River",-1.65795081384752e-06,4.96409083006455e-06,-8.27999245775959e-06,0.616792472203868,1.38377562939156e-13,"QLD",-23.823,151.218,"modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,1.92632,7.09872,6.5443,0.67579,NA,NA,4.93455,0.15499,3.1864,NA,50.22,1834,5.1,17.79,0.53,NA,0.63,0.44,6.241,2.1,9.8,3.2,"Semi Diurnal"
"Calvert River",1.11206627595659e-05,1.60876680725076e-05,6.15365744662428e-06,9.73721954231785e-06,1.24715852464784e-33,"NT",-16.257,137.743,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.87,7536,11.36,33.14,NA,NA,1.66,0.217,3.777,1.9,9.2,2.4,"Diurnal"
"Cam River",-9.18824331918393e-07,1.97457998356897e-05,-2.15834484995265e-05,0.929249633256295,0.00411600574725023,"TAS",-41.039,145.84,"extensively modified","wave dominated","OTHER",NA,NA,NA,0.18598,0.14793,NA,0.00649,NA,NA,NA,0.1381,NA,NA,NA,5.37,262,0.11,2.53,NA,NA,0.03,0.868,5.157,4.7,10.2,2.5,"Semi Diurnal"
"Camden Haven River",1.64877712085527e-06,6.64750918833401e-06,-3.34995494662348e-06,0.509787272138066,0.120460800953265,"NSW",-31.637,152.837,"modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,22.98495,2.45733,0.37851,0.4458,0.17116,1.57774,0.38666,NA,NA,5.38229,NA,NA,1.01357,116.55,601,32.198,27.38,4.23,8.77,0.35,1.46,7.128,7.9,13.5,0.9,"Semi Diurnal"
"Cameron Inlet",2.29928112582212e-05,3.70221284094517e-05,8.96349410699077e-06,0.00119837525988135,0.00322867114337437,"TAS",-40.105,148.266,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"Cane River",3.34254734207987e-05,4.03922663315639e-05,2.64586805100335e-05,1.11297992453517e-20,9.15159546178142e-11,"WA",-21.546,115.378,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,2.23558,0.9327,14.87645,NA,NA,NA,0.60923,NA,NA,3.36509,8.17,4472,0.24,2.7,NA,NA,0.22,0.317,3.705,1.2,9.9,2.4,"Semi Diurnal"
"Cape Creek",1.61102427942947e-06,1.25338867498296e-05,-9.31183819097065e-06,0.76811387452027,3.59462299422369e-12,"QLD",-21.551,149.446,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,3.94714,3.0273,12.87073,9.72574,5.11301,0.01519,NA,3.64727,NA,1.78006,NA,32.06,51,5.06,6.58,NA,NA,1.84,0.242,5.292,1.8,8.7,4.9,"Semi Diurnal"
"Carlton River",2.57651767858135e-05,4.45971093332027e-05,6.93324423842418e-06,0.00677720873981463,1.30800561710207e-11,"TAS",-42.877,147.641,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.13293,0.7167,NA,0.48273,0.26699,NA,0.34197,NA,NA,NA,0.50852,NA,NA,10.62858,15.18,136,1.46,6.66,0.59,1.08,0.12,1.059,6.504,4.9,12.4,1.2,"Diurnal"
"Carmila Creek",1.58398422603385e-05,3.62017509246908e-05,-4.52206640401375e-06,0.121524134977929,0.00159403355902879,"QLD",-21.906,149.464,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,0.98598,2.42181,1.96618,0.44041,0.12293,NA,NA,0.3197,NA,0.13439,NA,9.43,150,0.36,3.04,NA,NA,0.31,0.606,4.731,2.2,7.7,5.7,"Semi Diurnal"
"Carnot Bay",5.78323103000115e-06,3.61413490011827e-05,-2.45748869411804e-05,0.703718134661715,0.00229636358962726,"WA",-17.151,122.263,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1483,NA,NA,NA,NA,NA,0.506,5.019,3.3,13.6,6.6,"Semi Diurnal"
"Cascade Bay",1.88499257581609e-05,2.61781262011307e-05,1.1521725315191e-05,3.80508024909034e-07,2.46874830950039e-27,"WA",-16.598,123.516,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.68,370,60.42,21.09,5.44,NA,1.13,0.294,3.151,2.2,7.2,7.8,"Semi Diurnal"
"Castrades Inlet",1.47484551414113e-07,2.13922922429787e-05,-2.10973231401505e-05,0.98893501993723,0.110956297662541,"QLD",-21.37,149.312,"largely unmodified","wave dominated","WAVE-DOMINATED ESTUARY",0.85599,NA,NA,NA,0.27145,1.64536,0.66575,0.11737,0.01992,NA,0.39498,NA,NA,NA,12.91,45,0.75,4.82,NA,NA,0.25,0.727,4.926,2.9,8.7,5.2,"Semi Diurnal"
"Cattle Creek",-7.10249915150025e-07,8.71956147458332e-06,-1.01400613048834e-05,0.880355772415385,4.77225445890424e-05,"QLD",-18.861,146.275,"modified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,2.84344,0.42517,16.63393,14.23772,0.06811,NA,NA,1.59041,NA,NA,NA,27.85,513,1.9,8.28,NA,NA,0.61,0.605,5.609,2.3,12.6,2.3,"Semi Diurnal"
"Causeway Lake",-5.55893486383894e-06,9.86172174576455e-07,-1.21040419022543e-05,0.0904162156200384,8.04293532270932e-07,"QLD",-23.201,150.793,"modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,0.6263,NA,0.34254,0.70202,0.56718,3.60169,NA,NA,NA,0.38711,NA,0.0886,0.21134,11.7,32,0.88,2.82,0.83,0.51,0.044,0.181,6.621,1.5,10,3.6,"Semi Diurnal"
"Cawarral Creek",7.75674487116765e-06,1.83073198655074e-05,-2.79383012317209e-06,0.142432161859881,4.10104157736965e-14,"QLD",-23.316,150.793,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",0.35824,NA,NA,6.83063,2.81174,13.46149,15.37944,NA,0.03819,NA,6.29677,NA,NA,1.08427,45.02,169,5.61,11.45,1.26,NA,1.06,0.789,5.629,3.1,8.6,3.7,"Semi Diurnal"
"Cheyne Inlet",1.52171386061294e-06,3.21283789303493e-05,-2.90849512091234e-05,0.920977729868083,0.000512311989084375,"WA",-34.603,118.756,"modified","wave dominated","WAVE-DOMINATED ESTUARY",0.03245,0.09443,NA,0.01064,0.01237,NA,0.04045,NA,0.01651,NA,0.12869,NA,NA,NA,2.91,NA,0.068,1.15,0.12,0.19,0.025,NA,NA,NA,NA,NA,""
"Clairview Creek",9.81317280011906e-06,1.94626697207766e-05,1.63675879461544e-07,0.042671442538496,7.6794527368605e-09,"QLD",-22.188,149.556,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,10.65506,17.18077,NA,0.33461,NA,3.31319,NA,1.81925,0.60617,59.72,264,3.54,0.72,NA,NA,0.72,0.35,3.675,1,7.9,6.2,"Semi Diurnal"
"Clarence River",4.95118714028697e-06,1.19492512708346e-05,-2.04687699026065e-06,0.157699939701992,7.42875347099372e-20,"NSW",-29.428,153.361,"extensively modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,40.86113,119.51025,0.32164,4.79536,15.30793,7.38103,8.51873,0.02863,NA,66.62788,23.67979,41.53349,0.54066,279.63,22220,107.7,59.95,1.73,NA,0.36,1.444,7.066,6.2,13.6,1.2,"Semi Diurnal"
"Claudie River",1.11679697492702e-05,2.31401299394632e-05,-8.04190440922725e-07,0.0642906508410478,1.93193575325347e-05,"QLD",-12.84,143.358,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.92,379,0.73,6.8,NA,NA,0.32,0.545,5.742,1.4,13,2.1,"Diurnal"
"Cliffdale Creek",-2.95695704919747e-06,3.94445501802079e-06,-9.85836911641574e-06,0.392179479971657,1.74572946448258e-09,"QLD",-16.833,138.757,"near pristine","wave dominated","STRANDPLAIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,2869,0.065,2.07,NA,NA,0.076,0.048,3.871,0.7,10.7,3.5,"Diurnal"
"Cloudy Bay Lagoon",3.57511071535169e-05,5.12848785250449e-05,2.0217335781989e-05,8.11906901499142e-06,3.18908022590911e-09,"TAS",-43.44,147.202,"near pristine","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.51,48,5.85,4.1,2.22,1.19,0.22,1.624,7.857,6.5,13.3,1.2,"Diurnal"
"Cobaki Broadwater",1.65150710780166e-05,2.28908198171322e-05,1.0139322338901e-05,3.45153410923577e-07,0.000107917502956121,"NSW",-28.183,153.551,"largely unmodified","other","OTHER",NA,0.98417,0.07953,NA,0.46019,0.724,NA,NA,NA,NA,NA,NA,NA,NA,46.54,NA,7.615,10.21,2.84,5.89,0.17,NA,NA,NA,NA,NA,""
"Cockrone Lake",6.62786919484043e-06,1.73207906006489e-05,-4.065052210968e-06,0.215979339663505,4.40811249983555e-10,"NSW",-33.494,151.428,"extensively modified","wave dominated","OTHER",0.05517,0.20261,0.04813,NA,0.18352,NA,0.05009,NA,NA,NA,0.01138,NA,NA,NA,3.52,NA,0.28,1.2,0.48,0.4,0.019,NA,NA,NA,NA,NA,""
"Coconut Creek",3.23416661675252e-07,1.26544237438906e-05,-1.20075904205401e-05,0.958183410650718,0.0996442692340368,"QLD",-21.544,149.406,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,1.24403,1.8148,4.92056,4.18533,0.58022,NA,NA,0.69852,NA,1.0665,NA,15.39,16,0.85,3.88,NA,NA,0.86,0.105,5.515,0.7,9.7,4.9,"Semi Diurnal"
"Coila Lake",6.85611695938258e-06,1.23809701709044e-05,1.33126374786073e-06,0.0132764130592919,0.378538165012178,"NSW",-36.048,150.139,"modified","wave dominated","WAVE-DOMINATED ESTUARY",1.50359,6.1651,0.70075,0.38347,0.27522,NA,0.05586,NA,0.0333,NA,0.10125,NA,NA,0.01674,18.93,70,6.85,6.45,1.87,0.68,0.075,1.307,6.631,6.7,11.9,1.1,"Semi Diurnal"
"Colloseum Inlet",3.56476510525855e-06,9.87257900671221e-06,-2.74304879619512e-06,0.258937361317486,4.14415306415108e-17,"QLD",-23.988,151.435,"near pristine","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.61,475,46,13.75,NA,NA,3.15,0.429,4.897,1.4,9.9,2.8,"Semi Diurnal"
"Cone Bay",9.52681574922882e-06,1.78612182309301e-05,1.19241326752751e-06,0.0226657500218417,1.15534498860716e-19,"WA",-16.507,123.578,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.71,296,11.6,13.54,NA,NA,2.16,0.199,3.145,1.8,7.7,8.1,"Semi Diurnal"
"Constant Creek",2.39061031588769e-06,1.07173422994199e-05,-5.93612166764451e-06,0.566139684352419,0.549051532028805,"QLD",-20.982,149.031,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",0.0854,NA,NA,NA,5.93149,8.35651,3.92403,2.90229,NA,NA,3.75111,NA,NA,3.5577,25.11,139,3.05,9.77,1.6,NA,1.35,0.17,5.084,1.2,9.5,4.1,"Semi Diurnal"
"Coombabah Lake",1.01132584856937e-05,1.72501966087589e-05,2.97632036262842e-06,0.00483377798104398,2.43410706506972e-17,"QLD",-27.87,153.4,"extensively modified","tide dominated","TIDE-DOMINATED ESTUARY",NA,0.84792,NA,0.10732,1.17481,3.3677,0.91229,0.2439,NA,NA,1.66569,NA,NA,0.34161,34.62,NA,4.647,9.37,1.47,7.03,0.47,NA,NA,NA,NA,NA,""
"Coomera River",1.64795715817566e-05,2.33089554282561e-05,9.65018773525714e-06,1.98614017888066e-06,2.11395643796896e-06,"QLD",-27.831,153.396,"extensively modified","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,0.88049,4.57788,0.76189,NA,NA,NA,4.08228,NA,0.14103,0.84515,45.29,NA,3.62,16.68,0.36,0,0.23,NA,NA,NA,NA,NA,""
"Cooper Creek",1.32892780455687e-05,2.73731196183861e-05,-7.94563527248622e-07,0.0617316195130491,0.00473330043862043,"QLD",-16.177,145.441,"near pristine","river dominated","WAVE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,29,0.19,2.81,NA,NA,0.21,1.055,5.783,2.6,13.2,1.9,"Diurnal"
"Coppermine Creek",1.31694579403477e-05,2.14344139384235e-05,4.9045019422719e-06,0.00152760400281769,4.05543552989698e-53,"WA",-16.165,123.57,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.03,72,10.55,10.5,NA,NA,1.7,0.499,4.474,3.9,9,8.5,"Semi Diurnal"
"Corindi River/Red Rock River",8.76309010664625e-06,2.23696258368445e-05,-4.84344562355204e-06,0.199513174854394,0.00143400526717891,"NSW",-29.981,153.232,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.08185,NA,NA,0.21383,0.20148,0.13618,1.5889,0.04173,NA,NA,0.6343,NA,NA,0.09242,18.57,156,0.65,6.44,0.31,NA,0.056,1.486,7.122,6.5,13.7,1.4,"Semi Diurnal"
"Corio Bay",-6.26234807652117e-06,9.27172574189048e-06,-2.17964218949328e-05,0.420693891612388,0.000225783572979399,"QLD",-22.952,150.785,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",1.53906,NA,NA,5.64617,3.84713,16.94062,5.70204,8.75532,NA,NA,4.37309,NA,NA,1.30215,65.12,514,13.44,17.86,2.18,NA,1.95,0.717,6.202,3.2,9.9,3.7,"Semi Diurnal"
"Corner Inlet",2.32472979514948e-05,3.39531631875245e-05,1.25414327154652e-05,1.75763729162481e-05,0.000739349275514949,"VIC",-38.781,146.484,"largely unmodified","tide dominated","OTHER",10.71301,NA,NA,10.81198,387.10413,18.59332,65.51435,6.89234,0.07687,NA,163.49541,NA,NA,78.06328,280.89,2106,377.6,22.14,21.57,3.59,1.89,0.34,4.78,1.2,10.5,2.3,"Semi Diurnal"
"Corunna Lake",8.88007871666425e-06,1.47228946186417e-05,3.03726281468679e-06,0.00245388875562052,0.237626600523957,"NSW",-36.288,150.133,"largely unmodified","wave dominated","WAVE-DOMINATED ESTUARY",0.26975,1.79917,0.23851,0.25567,NA,NA,NA,NA,0.00616,NA,0.17244,NA,NA,13.69172,19.65,19,2.05,4.51,1.12,1.5,0.059,1.386,6.593,6.4,11.9,1.1,"Semi Diurnal"
"Cowal Creek",1.51565966751384e-05,3.37446958156023e-05,-3.43150246532544e-06,0.106015722088062,3.31047474049202e-09,"QLD",-10.91,142.322,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.82,219,0.35,5.13,NA,NA,0.34,0.415,3.154,2.6,7.6,2.7,"Diurnal"
"Crocodile Creek",1.56330099306439e-05,2.76643623343685e-05,3.60165752691925e-06,0.0104822256918297,0.415775023470428,"QLD",-19.301,146.952,"near pristine","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,0.186,5.528,1.5,10,2.3,"Semi Diurnal"
"Crookes Rivulet",2.65019000815102e-05,4.78946957457018e-05,5.10910441731852e-06,0.0143249979168503,2.98519541821445e-08,"TAS",-43.158,146.963,"modified","tide dominated","OTHER",NA,NA,0.04427,NA,0.0348,NA,0.18201,NA,NA,NA,1.20635,NA,NA,0.01728,2.37,NA,NA,1.01,NA,NA,0.075,NA,NA,NA,NA,NA,""
"Cudgen Lake",1.18097135890609e-05,2.2925218377184e-05,6.94208800937858e-07,0.0342916389452472,0.0143544656775059,"NSW",-28.257,153.586,"extensively modified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,0.04501,0.33612,0.01563,0.055,0.19084,0.1234,NA,0.17551,NA,NA,NA,22.62,54,2.43,10.58,1.17,8.23,0.077,1.279,6.717,4.6,12.5,1.1,"Semi Diurnal"
"Cullendulla Creek",2.46022880099579e-05,3.49095589189084e-05,1.42950171010074e-05,2.61713977059734e-06,6.33882328159204e-05,"NSW",-35.703,150.209,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,0.20505,0.9198,0.1182,0.24258,NA,0.01078,NA,0.19495,NA,NA,0.22905,6.4,NA,0.27,2.25,0.17,NA,0.098,NA,NA,NA,NA,NA,""
"Curalo Lagoon",9.59905442301339e-06,1.65945839919663e-05,2.6035248540605e-06,0.00625072917038253,0.00762083597029889,"NSW",-37.048,149.921,"extensively modified","wave dominated","WAVE-DOMINATED ESTUARY",0.37575,0.42143,0.24083,0.25225,0.02855,0.02259,0.03181,NA,0.01859,NA,0.12632,NA,NA,0.15138,4.22,19,0.44,1.56,0.9,0.98,0.17,0.437,6.763,2.4,11.8,1.5,"Semi Diurnal"
"Curdies Inlet",7.33270519862283e-06,2.86562555589245e-05,-1.39908451616788e-05,0.492593577872031,0.000597215766857031,"VIC",-38.608,142.883,"modified","wave dominated","WAVE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,NA,NA,NA,NA,NA,2.291,8.906,8.1,14.6,0.9,"Diurnal"
"Currambeen Creek",6.28416229794986e-06,1.60625209203042e-05,-3.49419632440449e-06,0.19941379633346,1.66489106156358e-05,"NSW",-35.037,150.671,"largely unmodified","river dominated","WAVE-DOMINATED DELTA",0.17871,NA,NA,NA,0.11391,1.36417,0.79421,0.15286,0.07649,NA,0.54301,NA,NA,0.01024,23.57,163,1.2,9.36,0.18,0.28,0.12,0.503,6.836,6.5,12.6,1.2,"Semi Diurnal"
"Currimundi Creek",3.06015727699344e-05,4.01562709462622e-05,2.10468745936066e-05,5.76831227692117e-10,9.87283107038404e-08,"QLD",-26.766,153.135,"modified","wave dominated","STRANDPLAIN",0.0761,NA,NA,0.06079,0.01666,NA,NA,NA,NA,NA,0.54327,NA,NA,NA,8.88,9,0.32,3.24,0.13,NA,0.17,1.24,6.553,3.2,9.3,1.4,"Semi Diurnal"
"Currumbin Creek",6.93677207857856e-06,1.48472288071619e-05,-9.73684650004754e-07,0.0802404382472983,0.0408076224233153,"QLD",-28.128,153.484,"modified","tide dominated","TIDAL FLAT/CREEK",0.09005,0.19533,NA,0.21233,0.17034,0.26916,0.14486,NA,0.03131,NA,0.16741,NA,NA,2.54635,16.52,54,0.68,4.25,0.61,0.16,0.089,0.967,6.668,2.6,10.8,1.2,"Semi Diurnal"
"Curtis Island Creek",3.75402406763956e-06,1.70130982917763e-05,-9.50505015649723e-06,0.571667569312725,0.140466251973778,"QLD",-23.487,151.114,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,46,0.4,2.78,0.31,NA,0.56,0.521,6.368,2.8,9.8,3.5,"Semi Diurnal"
"Cuttagee Lake",9.46480946298069e-06,1.46828158836392e-05,4.24680304232216e-06,0.000306599147045686,0.00916294763605365,"NSW",-36.495,150.054,"largely unmodified","wave dominated","WAVE-DOMINATED ESTUARY",0.23647,1.10023,0.52849,0.09272,NA,NA,NA,NA,NA,NA,0.23334,NA,NA,12.63863,12.86,80,1.14,2.58,1.06,0.67,0.095,1.34,6.633,6.1,11.9,1.1,"Semi Diurnal"
"Daintree River",3.97805159830996e-06,1.11187391853732e-05,-3.16263598875332e-06,0.266099976001043,5.92964226982659e-09,"QLD",-16.291,145.451,"near pristine","river dominated","TIDE-DOMINATED DELTA",NA,NA,NA,2.52204,1.73157,11.67954,9.1317,0.06342,NA,NA,6.93342,NA,NA,NA,78.3,1120,8.785,26.28,0.7,NA,0.9,0.513,5.694,1.7,13.7,1.9,"Diurnal"
"Dallachy Creek",-1.11635657382188e-05,-2.22251192568197e-06,-2.01046195507557e-05,0.0130911718760415,8.840258417897e-18,"QLD",-18.164,146.009,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.31,99,0.058,3.94,NA,NA,0.42,0.577,5.87,2.2,13.8,2.3,"Semi Diurnal"
"Daly River",1.99607198634401e-06,1.10129994562385e-05,-7.0208554835505e-06,0.65825574301855,1.48607107473611e-08,"NT",-13.312,130.232,"near pristine","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.78,53776,68.26,65.76,NA,NA,7.36,0.292,4.338,2.4,10.6,5.6,"Semi Diurnal"
"Dampier Creek (Broome)",6.78847246748384e-06,2.10671305338148e-05,-7.49018559884713e-06,0.342066262860499,0.754926523715336,"WA",-17.961,122.25,"largely unmodified","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.97,111,0.57,2.73,NA,NA,0.76,0.169,5.539,1.6,13.6,8.3,"Semi Diurnal"
"Darwin Harbour",-1.42598891894106e-05,-5.26637166898515e-06,-2.3253406709836e-05,0.00164275767847342,6.56627564847603e-07,"NT",-12.421,130.802,"largely unmodified","tide dominated","OTHER",NA,NA,NA,NA,74.36269,171.84917,34.96602,9.72737,4.64051,NA,172.39996,9.18021,2.11024,0.04524,125.03,1990,161.34,20.15,11.4,NA,6.45,0.18,2.976,1.5,7.3,5.5,"Semi Diurnal"
"De Grey River",5.4397361381843e-07,9.66249227800367e-06,-8.57454505036681e-06,0.90507982049036,5.56558225368936e-06,"WA",-19.99,119.16,"largely unmodified","tide dominated","TIDE-DOMINATED ESTUARY",NA,NA,NA,NA,12.30917,1.6347,27.69745,0.19599,NA,NA,12.1035,NA,NA,0.10662,NA,54752,NA,NA,NA,NA,NA,0.363,3.737,1.7,8.2,5.9,"Semi Diurnal"
"Dead Dog Creek",9.85554138109344e-07,9.59072435023435e-06,-7.61961607401566e-06,0.819056368179029,1.2298600448695e-10,"QLD",-14.612,144.88,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.54,54,0.45,6.42,NA,NA,0.4,0.977,5.584,2.3,11.5,2,"Semi Diurnal"
"Deception Bay",1.50937172809923e-06,7.56703693219556e-06,-4.5482934759971e-06,0.618358435719266,2.61652858926786e-89,"WA",-15.631,124.413,"near pristine","tide dominated","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.13,241,21.68,9.95,8.42,NA,1.69,0.547,5.25,4.7,12.5,8.8,"Semi Diurnal"
"Dee Why Lagoon",-1.08540994320459e-05,2.28880335931426e-06,-2.39970022234061e-05,0.0998307420831066,0.00322368563043162,"NSW",-33.748,151.304,"extensively modified","wave dominated","OTHER",0.25852,0.15162,0.04754,NA,0.25605,NA,0.1718,NA,NA,NA,NA,NA,NA,NA,3.22,NA,0.24,1.08,0.38,0.36,0.036,NA,NA,NA,NA,NA,""
"Deep Creek",4.649924747933e-06,1.03774030328354e-05,-1.07755353696937e-06,0.105355278004977,0.00453260057041667,"QLD",-18.276,146.225,"near pristine","tide dominated","TIDAL FLAT/CREEK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.95,58,5.13,7,NA,NA,2.19,1.02,6.14,3.8,13.3,2.3,"Diurnal"
